x,y,z
-0.095,-0.1,0.1747598542902933
-0.095,-0.09797979797979799,0.1749757082687275
-0.095,-0.09595959595959597,0.1749757082687275
-0.095,-0.09393939393939395,0.17432783833220872
-0.095,-0.09191919191919193,0.17432783833220872
-0.095,-0.08989898989898991,0.1743683165962981
-0.095,-0.08787878787878789,0.1746234187936472
-0.095,-0.08585858585858586,0.1748872437311327
-0.095,-0.08383838383838385,0.1753626774410816
-0.095,-0.08181818181818182,0.1753626774410816
-0.095,-0.07979797979797981,0.1747563549331958
-0.095,-0.07777777777777778,0.17484702629094212
-0.095,-0.07575757575757576,0.17484702629094212
-0.095,-0.07373737373737374,0.1749479264636078
-0.095,-0.07171717171717172,0.1750590529600058
-0.095,-0.0696969696969697,0.1753796369584431
-0.095,-0.06767676767676768,0.1753796369584431
-0.095,-0.06565656565656566,0.1745030383350138
-0.095,-0.06363636363636364,0.1744379664036388
-0.095,-0.061616161616161624,0.1743846318531535
-0.095,-0.059595959595959605,0.174540060878835
-0.095,-0.05757575757575758,0.17509840323229692
-0.095,-0.05555555555555556,0.1758597083244321
-0.095,-0.05353535353535354,0.1764319343245562
-0.095,-0.05151515151515152,0.1764319343245562
-0.095,-0.0494949494949495,0.1761534593531459
-0.095,-0.04747474747474748,0.1767430269534236
-0.095,-0.04545454545454546,0.1773399464594283
-0.095,-0.043434343434343436,0.1773399464594283
-0.095,-0.04141414141414142,0.1779441263786436
-0.095,-0.0393939393939394,0.1785556589291366
-0.095,-0.03737373737373738,0.1787933798443339
-0.095,-0.03535353535353536,0.1787933798443339
-0.095,-0.03333333333333334,0.1790412843209784
-0.095,-0.03131313131313132,0.1790412843209784
-0.095,-0.0292929292929293,0.1790273796198809
-0.095,-0.027272727272727282,0.1796730157292432
-0.095,-0.025252525252525262,0.1805136541934579
-0.095,-0.023232323232323243,0.18136013698300152
-0.095,-0.021212121212121224,0.1818400393287516
-0.095,-0.019191919191919204,0.1818400393287516
-0.095,-0.01717171717171717,0.18195778796254042
-0.095,-0.015151515151515152,0.1830109198796963
-0.095,-0.013131313131313133,0.1840684348322043
-0.095,-0.011111111111111113,0.1851303334958067
-0.095,-0.009090909090909094,0.1851303334958067
-0.095,-0.007070707070707075,0.1809276751690779
-0.095,-0.005050505050505055,0.1809276751690779
-0.095,-0.003030303030303036,0.1809996381612417
-0.095,-0.0010101010101010166,0.1819087578654069
-0.095,0.0010101010101010027,0.1819087578654069
-0.095,0.003030303030303022,0.18074507973791082
-0.095,0.005050505050505041,0.18074507973791082
-0.095,0.007070707070707061,0.1812603468437072
-0.095,0.00909090909090908,0.1812603468437072
-0.095,0.0111111111111111,0.18117073336334122
-0.095,0.013131313131313133,0.1817590396835566
-0.095,0.015151515151515152,0.182534386626456
-0.095,0.01717171717171717,0.1833169974593253
-0.095,0.01919191919191919,0.1833169974593253
-0.095,0.02121212121212121,0.18393014527617318
-0.095,0.02323232323232323,0.18393014527617318
-0.095,0.02525252525252525,0.1815437296099418
-0.095,0.027272727272727254,0.1819988354992894
-0.095,0.029292929292929287,0.182990252410589
-0.095,0.03131313131313132,0.183638240837239
-0.095,0.033333333333333326,0.183638240837239
-0.095,0.03535353535353536,0.1839472260054567
-0.095,0.037373737373737365,0.1839472260054567
-0.095,0.0393939393939394,0.1804633046991921
-0.095,0.0414141414141414,0.1805410496653871
-0.095,0.043434343434343436,0.1805410496653871
-0.095,0.04545454545454544,0.1817508052362067
-0.095,0.047474747474747475,0.1829649455566383
-0.095,0.04949494949494948,0.1841834676154515
-0.095,0.051515151515151514,0.1841834676154515
-0.095,0.05353535353535352,0.1848955217553082
-0.095,0.05555555555555555,0.1848955217553082
-0.095,0.05757575757575756,0.1840903981661987
-0.095,0.05959595959595959,0.1840903981661987
-0.095,0.0616161616161616,0.1828774331172338
-0.095,0.06363636363636363,0.1828774331172338
-0.095,0.06565656565656566,0.1832938984527497
-0.095,0.06767676767676767,0.1832938984527497
-0.095,0.0696969696969697,0.1838894793963284
-0.095,0.07171717171717171,0.1838894793963284
-0.095,0.07373737373737374,0.1977558030685714
-0.095,0.07575757575757575,0.1977558030685714
-0.095,0.07777777777777778,0.1846135091366068
-0.095,0.07979797979797978,0.1825284614336485
-0.095,0.08181818181818182,0.183165420252659
-0.095,0.08383838383838382,0.183165420252659
-0.095,0.08585858585858586,0.1838126078865889
-0.095,0.08787878787878786,0.1843062112354048
-0.095,0.0898989898989899,0.1843062112354048
-0.095,0.0919191919191919,0.18530071126467978
-0.095,0.09393939393939393,0.1861401671731021
-0.095,0.09595959595959597,0.1861401671731021
-0.095,0.09797979797979797,0.1873115850409499
-0.095,0.1,0.1923941889415408
